RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
37,15712121,Chidimma,657,Spain,Male,34,5,154983.98,1,1,0,27738.01,0
38,15805429,Murray,699,Germany,Male,59,3,106819.65,1,0,1,163570.25,0
39,15814923,Sullivan,606,Spain,Male,38,7,128578.52,1,1,1,193878.51,0
40,15589230,Wu,612,France,Female,63,2,126473.33,1,0,1,147545.65,0
41,15775490,Downie,660,France,Female,38,5,110570.78,2,1,0,195906.59,0
42,15749727,Chukwufumnanya,829,Spain,Male,50,7,0,2,0,1,178458.86,0
43,15619238,Allan,567,Spain,Male,29,8,0,2,1,0,156125.72,0
44,15593468,Findlay,850,France,Female,33,3,0,2,1,1,11159.19,0
45,15718454,Ch'eng,712,Spain,Female,44,2,0,2,0,0,45738.94,0
46,15789498,Miller,562,France,Male,30,3,111099.79,2,0,0,140650.19,0
47,15744691,Tsai,755,France,Female,29,3,0,3,1,0,4733.94,0
48,15708289,Graham,793,Spain,Male,25,3,100913.57,1,0,0,10579.72,0
49,15790412,Norton,471,Spain,Male,26,8,0,2,1,1,179655.87,0
50,15741416,Yegorov,707,France,Male,42,2,16893.59,1,1,1,77502.56,0
51,15598894,Holt,784,Spain,Male,38,10,122267.85,1,0,0,145759.93,0
52,15663294,Kao,703,France,Male,32,1,125685.79,1,1,1,56246.72,0
53,15572728,Ross,704,Spain,Male,36,8,127397.34,1,1,0,151335.24,0
54,15706729,Hsiao,662,France,Male,38,0,105271.56,1,0,1,179833.45,0
55,15674433,Allan,636,Germany,Female,28,2,115265.14,1,0,0,191627.85,0
56,15641170,Liang,640,Spain,Male,36,4,0,1,0,0,173016.46,0
57,15806284,Briggs,739,Spain,Male,31,1,0,2,1,1,58469.75,0
58,15690958,Cantrell,767,Germany,Male,23,2,139542.82,1,0,1,28038.28,0
59,15606386,Wang,753,Germany,Female,46,3,111512.75,3,1,0,159576.75,1
60,15682322,Aksenov,714,France,Male,37,9,148466.93,2,0,1,151280.96,0
61,15579915,Glennon,707,France,Male,29,4,0,2,1,0,139953.94,0
62,15681928,Yancy,577,France,Female,35,4,108155.49,1,1,0,105407.79,0
63,15734005,Mazzi,633,France,Female,42,1,0,2,1,0,56865.62,0
64,15650432,Liu,849,Germany,Male,41,10,84622.13,1,1,1,198072.16,0
65,15592578,Nucci,614,Spain,Female,41,7,146997.64,2,0,0,137791.18,0
66,15671243,Y?,558,France,Female,47,9,0,2,1,0,103787.28,0
67,15775709,Nucci,832,France,Female,27,10,98590.25,1,1,0,30912.89,0
68,15702631,Tang,567,France,Female,26,2,0,2,1,1,78651.55,0
69,15602282,Kao,587,Germany,Female,45,8,134980.74,1,1,1,123309.57,1
70,15717879,Chen,712,Spain,Female,79,5,108078.56,1,1,1,174118.93,0
71,15740878,Yao,655,Spain,Female,29,9,0,2,0,1,85736.26,0
72,15794468,Tsou,641,France,Female,42,6,0,2,0,0,121138.77,0
73,15773277,Barnes,676,France,Male,35,5,106836.67,2,1,0,84199.78,0
74,15572657,H?,472,France,Male,29,8,102490.27,1,0,1,181224.56,0
75,15800295,Cruz,644,Germany,Male,34,9,112746.54,2,0,0,141230.07,0
76,15672397,Smith,598,France,Male,38,0,125487.89,1,0,0,158111.71,0
77,15684921,Onuchukwu,792,Spain,Male,25,8,142862.21,1,1,1,130639.01,0
78,15720676,Bukowski,700,France,Female,37,7,0,2,1,0,17040.82,0
79,15731829,Simmons,616,France,Male,34,10,0,2,1,0,25662.27,0
80,15732672,Stewart,743,Spain,Male,35,6,79388.33,1,1,1,193360.69,0
81,15692406,Gow,427,France,Male,37,5,0,2,1,1,121485.1,0
82,15764405,Williams,731,France,Male,29,10,0,2,1,1,162452.65,0
83,15757537,Francis,610,France,Female,31,6,107784.65,1,1,1,141137.53,0
84,15793307,Calabresi,724,Spain,Female,41,4,142880.28,3,0,0,185541.2,1
85,15660679,Chimaobim,653,Spain,Female,38,9,149571.94,1,1,0,118383.18,0
86,15666856,Chikwendu,774,France,Male,49,1,142767.39,1,1,1,8214.41,0
87,15687372,Padovesi,547,Germany,Male,49,8,121537.71,2,1,0,46521.45,1
88,15667289,Henderson,719,Spain,Male,50,2,0,2,0,0,10772.13,0
89,15624641,Kharlamova,740,Spain,Male,43,9,0,1,1,0,199290.68,1
90,15734610,Onio,543,France,Male,42,4,89838.71,3,1,0,85983.54,1
91,15631882,Yeh,688,Germany,Male,45,9,103399.87,1,0,0,129870.93,0
92,15642709,Feng,474,France,Female,30,9,0,2,0,0,63158.22,0
93,15811026,Norman,505,Germany,Male,43,5,136855.94,2,1,0,171070.52,0
94,15596303,White,688,France,Female,39,0,0,2,1,0,53222.15,1
95,15787255,Manfrin,650,Germany,Female,55,2,140891.46,3,1,1,179834.45,1
96,15617166,Ritchie,610,France,Male,37,0,0,1,1,0,114514.64,0
97,15742442,Udegbulam,705,Spain,Female,46,5,89364.91,1,0,1,139162.15,0
98,15758692,Kao,669,France,Female,29,7,146011.4,1,0,0,50249.16,0
99,15568238,Diaz,650,Spain,Male,20,8,0,2,1,1,113469.65,0
100,15730353,Olisaemeka,550,Germany,Male,29,9,145294.08,2,1,0,147484.13,0
101,15731555,Ross-Watt,595,Germany,Female,45,9,106000.12,1,0,0,191448.96,1
102,15582404,Miller,572,Spain,Female,26,5,0,2,1,0,119381.41,0
103,15721462,Shubin,622,Spain,Female,58,2,0,2,1,1,33277.31,0
104,15632899,Nwankwo,662,Spain,Male,20,9,104508.77,2,0,0,73107.53,0
105,15808526,Cartwright,783,Germany,Female,58,3,127539.3,1,1,1,96590.39,1
106,15694349,Ngozichukwuka,714,Spain,Male,44,7,0,1,0,1,6923.11,0
107,15718465,Sadler,671,Germany,Male,51,3,96891.46,1,1,0,176403.33,1
108,15682995,Azuka,600,France,Female,32,1,78535.25,1,1,0,64349.6,0
109,15584776,Shen,847,Spain,Female,37,9,112712.17,1,1,0,116097.26,0
110,15777772,Whittaker,650,Spain,Male,55,9,119618.42,1,1,1,29861.13,0
111,15576156,Abazu,710,Spain,Female,28,6,0,1,1,0,48426.98,0
112,15646756,Murphy,682,France,Female,33,8,74963.5,1,1,1,32770.56,0
113,15742886,Ford,642,France,Male,26,1,138023.79,2,0,1,117060.2,0
114,15586135,Gratwick,536,Spain,Female,28,4,0,1,1,1,136197.65,0
115,15616152,Pai,754,France,Female,47,1,185513.67,1,1,0,27438.83,0
116,15721460,Lorenzo,678,France,Male,60,8,185648.56,1,0,0,192156.54,1
117,15727317,Brady,533,Germany,Female,49,1,102286.6,3,1,0,69409.37,1
118,15649536,Wong,741,Germany,Male,38,4,128015.83,1,1,0,58440.43,0
119,15754929,Douglas,757,France,Male,31,10,39539.39,2,0,0,192519.39,0
120,15572051,Kennedy,721,France,Male,40,3,0,1,1,1,144874.67,0
121,15668142,Chang,700,France,Male,37,3,77608.46,2,1,1,175373.46,0
122,15701176,Brown,663,France,Male,26,5,141462.13,1,1,0,440.2,0
123,15708422,Hsiung,677,Spain,Female,35,0,0,2,0,0,76637.38,0
124,15655632,MacDonald,655,France,Male,27,2,131691.33,1,1,0,49480.66,0
125,15744606,Davidson,832,Spain,Male,29,8,93833.86,1,0,1,10417.87,0
126,15612140,Milano,721,Spain,Female,46,7,137933.39,1,1,1,67976.57,0
127,15656086,Bovee,542,Spain,Male,54,8,105770.14,1,0,1,140929.98,1
128,15655298,Lewis,654,Spain,Female,54,5,0,2,0,1,47139.06,0
129,15644796,Dyer,821,Spain,Female,38,8,0,2,0,1,126241.4,1
130,15726250,Hsia,508,France,Female,38,3,166328.65,2,0,1,22614.19,0
131,15764432,Hicks,588,Germany,Female,42,2,164307.77,1,1,0,48498.19,0
132,15631721,Millar,691,Germany,Male,38,9,163965.69,2,0,1,103511.26,0
133,15707479,Fan,664,France,Male,40,7,125608.72,1,1,0,122073.48,0
134,15579826,Young,439,France,Female,66,9,0,1,1,0,65535.56,0
135,15668104,Kerr,479,Spain,Male,37,6,118433.94,1,0,1,160060.9,0
136,15641604,Frolova,850,France,Female,55,10,98488.08,1,1,0,155879.57,1
137,15587240,Vasilyev,518,France,Male,40,4,0,2,0,1,194416.58,0
138,15680767,Sabbatini,717,Germany,Female,64,10,98362.35,2,1,1,21630.21,0
139,15601594,Ifeanacho,698,France,Female,51,6,144237.91,4,1,0,157143.61,1
140,15589969,Capon,850,France,Male,34,6,0,1,0,1,52796.31,0
141,15703728,Chieloka,700,Spain,Male,47,4,0,1,1,0,121798.52,1
142,15617790,Hanson,626,France,Female,29,4,105767.28,2,0,0,41104.82,0
143,15662500,Ts'ao,774,Spain,Male,32,9,0,2,1,0,10604.48,0
144,15778526,Bradshaw,719,Spain,Female,48,5,0,2,0,0,78563.66,0
145,15670584,Nkemakolam,646,Spain,Male,31,2,0,1,1,1,170821.43,1
146,15748069,Clunie,485,France,Female,25,3,134467.26,1,1,1,113266.09,0
147,15680597,Cover,784,Germany,Male,38,1,138515.02,1,1,1,171768.76,0
148,15628992,Esposito,850,Germany,Male,32,2,128647.98,2,0,0,54416.18,0
149,15719624,Hodgson,669,France,Female,38,9,121858.98,1,1,0,130755.34,0
150,15812767,Harvey,731,Spain,Male,70,3,0,2,1,1,141180.66,0
151,15689201,Dobie,721,France,Female,49,1,120108.56,1,0,1,183421.76,0
152,15614716,Okwudilichukwu,515,France,Female,37,0,196853.62,1,1,1,132770.11,0
153,15683618,Dyer,774,France,Female,35,3,121418.62,1,1,1,24400.37,0
154,15799631,Chase,585,Spain,Male,36,10,0,2,1,1,180318.6,0
155,15692259,Baresi,695,France,Female,29,9,0,2,1,0,111565.45,0
156,15590966,Lo,729,Germany,Female,42,4,97495.8,2,0,0,2002.5,0
157,15656426,Tyler,713,France,Female,42,3,0,2,0,0,82565.01,0
158,15675256,Ts'ui,555,Spain,Male,33,5,127343.4,1,0,1,121789.3,0
159,15751185,Aparicio,699,Spain,Female,50,0,158633.61,1,1,0,193785.87,0
160,15789582,Macleod,587,France,Male,55,9,0,1,1,0,64593.07,0
161,15651103,Sal,762,Spain,Female,69,9,183744.98,1,1,1,196993.69,0
162,15672299,Yeh,510,France,Male,44,6,0,2,1,1,175518.31,0
163,15772250,Udegbunam,842,Spain,Male,46,9,0,1,0,0,17268.02,0
164,15763922,Alexandrov,608,France,Male,31,7,79962.92,2,1,0,60901.72,0
165,15633870,Ozioma,850,France,Female,36,10,0,2,1,1,100750.03,0
166,15624323,Atkins,642,France,Male,36,4,0,2,1,1,195224.91,0
167,15688612,Campos,850,France,Male,33,7,140956.99,1,0,0,3510.18,0
168,15694644,Wood,455,Spain,Female,43,6,0,1,1,1,81250.79,0
169,15587174,Kerr,726,France,Male,29,7,0,2,1,1,91844.14,1
170,15579559,Chienezie,544,Spain,Male,30,8,145241.63,1,1,1,80676.83,0
171,15775430,Tsou,651,Germany,Male,31,7,138008.06,2,1,0,129912.74,0
172,15623695,McKinnon,814,France,Female,31,4,0,2,1,1,142029.17,0
173,15760849,Nwachukwu,537,France,Male,39,2,0,2,1,1,137651.6,0
174,15813095,Nwebube,553,France,Male,37,2,0,2,1,0,33877.29,0
175,15705281,Burt,800,Spain,Male,38,9,0,1,1,0,78744.39,0
176,15812594,Ross,791,France,Male,34,7,0,2,1,0,96734.46,0
177,15626322,Lees,699,Spain,Female,29,9,127570.93,2,1,0,164756.81,0
178,15723105,Feetham,756,France,Female,28,6,0,1,1,1,164394.65,0
179,15588449,Chuang,591,Spain,Female,27,5,107812.67,1,0,1,162501.83,1
180,15794849,Aitken,850,Germany,Male,22,7,91560.58,2,0,0,10541.38,0
181,15620000,Chambers,760,Germany,Male,34,6,121303.77,2,1,1,59325.21,0
182,15799720,Coburn,569,Spain,Male,43,8,161546.68,2,0,1,178187.28,0
183,15711287,Ahmed,661,Spain,Female,35,5,128415.45,1,1,0,142626.49,0
184,15613102,Ogochukwu,670,France,Female,31,2,57530.06,1,1,1,181893.31,1
185,15621440,Soto,694,France,Male,38,1,0,2,0,1,156858.2,0
186,15677146,Obiajulu,728,France,Female,28,4,142243.54,2,1,0,33074.51,0
187,15801169,Yegorova,764,Germany,Female,39,9,138341.51,1,1,0,50072.94,1
188,15722425,Lucchese,639,France,Male,32,9,0,2,1,0,111340.36,0
189,15682421,Talbot,683,France,Female,30,2,0,2,0,1,100496.84,1
190,15691910,Lu,663,Spain,Male,30,4,0,3,1,0,101371.05,0
191,15721779,Arnold,826,Spain,Male,41,5,146466.46,2,0,0,180934.67,0
192,15579548,Nicholson,735,Spain,Male,36,5,0,2,1,0,105152.17,0
193,15681075,Chukwualuka,682,France,Female,58,1,0,1,1,1,706.5,0
194,15607884,Wallace,663,France,Female,39,8,0,2,1,1,101168.9,0
195,15767757,Pisano,562,Spain,Female,29,9,120307.58,1,1,1,6795.61,0
196,15791550,Kelly,696,France,Male,27,4,87637.26,2,0,0,196111.35,0
197,15658589,Brady,850,Spain,Male,38,2,94652.04,1,1,1,171960.76,0
198,15670822,Palmer,719,France,Female,22,7,114415.84,1,1,1,177497.4,0
199,15629744,Tan,804,France,Female,71,8,0,2,0,1,147995.96,0
200,15660768,L?,604,France,Male,40,1,84315.02,1,0,0,36209.1,0
201,15726310,Mordvinova,782,Spain,Female,27,3,0,2,1,0,143614.01,0
202,15641298,Corones,512,Germany,Male,42,9,93955.83,2,1,0,14828.54,0
203,15625675,Clements,569,France,Male,36,1,67087.69,1,1,0,154775.7,0
204,15713354,Morrice,597,Germany,Female,22,6,101528.61,1,1,0,70529,1
205,15633866,Hsiung,753,Germany,Male,30,1,110824.52,1,1,1,57896.27,0
206,15704231,Barrett,430,France,Female,33,8,0,1,1,1,69759.91,0
207,15735400,Kanayochukwu,756,France,Male,28,8,179960.2,1,1,0,89938.08,0
208,15632826,Tardent,493,France,Male,38,3,134006.77,1,1,0,89578.32,0
209,15751022,Bowhay,777,Germany,Female,37,10,121532.17,2,1,1,73464.88,0
210,15664737,Lei,779,Spain,Female,38,7,0,2,1,1,138542.87,0
211,15681126,Baker,702,Spain,Female,38,2,0,1,1,1,161888.63,0
212,15738954,Pisano,551,France,Male,35,7,129717.3,2,0,0,86937.2,0
213,15662263,Castillo,749,Germany,Male,22,4,94762.16,2,1,1,42241.54,0
214,15621611,Gibson,742,Germany,Male,55,5,155196.17,1,0,1,121207.66,1
215,15783752,Lindsay,752,Germany,Male,29,4,129514.99,1,1,1,102930.46,0
216,15709474,Macnamara,740,Germany,Female,57,3,113386.36,2,1,1,65121.63,1
217,15701280,Romano,576,France,Male,24,3,0,1,0,1,78498.04,1
218,15671104,Aksakova,637,Spain,Male,43,3,172196.23,1,1,1,104769.96,0
219,15796434,Farnsworth,724,France,Male,28,5,97612.12,1,1,1,96498.14,0
220,15781505,Giordano,685,France,Male,20,4,104719.94,2,1,0,38691.34,0
221,15625819,Arnold,625,France,Female,38,7,0,1,1,0,164804.02,0
222,15753174,Thompson,571,Germany,Male,37,9,139592.98,3,1,0,104152.65,1
223,15654067,Koch,584,Spain,Female,29,4,0,2,1,0,88866.92,0
224,15724719,Jones,550,France,Female,22,7,139096.85,1,1,0,129890.94,0
225,15624695,Otitodilinna,662,Spain,Female,72,7,140301.72,1,0,1,179258.67,0
226,15718216,Fleetwood-Smith,803,Spain,Male,43,3,0,1,1,0,72051.44,0
227,15586300,Chinonyelum,615,France,Male,66,7,0,2,1,1,74580.8,0
228,15783349,Montague,481,Spain,Male,39,1,111233.09,1,1,1,123995.15,0
229,15725767,Milani,701,France,Male,23,3,0,2,1,0,38960.59,0
230,15791925,Palermo,751,France,Male,29,10,147737.63,1,0,1,94951.27,0
231,15793585,Anderson,675,France,Male,35,8,0,2,1,1,56642.97,0
232,15576641,Crawford,733,Germany,Male,40,5,125725.02,2,1,1,50783.1,0
233,15749519,Lin,822,France,Male,38,6,128289.7,3,1,0,9149.96,1
234,15684960,Yewen,559,France,Female,46,5,0,1,1,0,21006.1,1
235,15591286,Simmons,731,Germany,Female,49,4,88826.07,1,1,1,33759.41,1
236,15668323,Mbadiwe,678,France,Female,41,1,143443.61,1,1,0,196622.28,1
237,15608528,Munro,645,France,Female,68,9,0,4,1,1,176353.87,1
238,15645184,Graham,701,France,Male,29,2,0,2,1,0,176943.59,0
239,15702566,Lombardo,554,Spain,Male,26,8,149134.46,1,1,1,177966.24,0
240,15660840,Kalinin,723,France,Male,30,3,124119.54,1,1,0,162198.32,0
241,15750811,Woodward,766,Germany,Male,44,3,116822.7,1,0,0,197643.24,0
242,15733842,Pirozzi,597,France,Female,24,1,103219.47,1,1,0,60420.07,0
243,15581526,Iweobiegbulam,574,France,Male,41,1,0,2,0,0,70550,0
244,15662751,Piazza,655,Germany,Female,40,0,81954.6,1,1,1,198798.44,1
245,15684319,Baranova,780,Germany,Female,37,10,95196.26,1,1,0,126310.39,1
246,15702190,Fan,672,Spain,Male,43,5,0,2,1,1,64515.5,0
247,15588517,Sun,717,France,Male,38,7,0,2,1,1,158580.05,0
248,15801863,Marino,521,France,Female,32,2,136555.01,2,1,1,129353.21,0
249,15584271,Donaldson,633,France,Male,59,5,0,1,1,1,137273.97,0
250,15700366,Burton,669,France,Male,39,3,119452.03,1,1,1,171575.54,0
251,15804038,Quinn,740,France,Male,44,9,0,1,0,1,96528,1
252,15720820,Sabbatini,462,Germany,Female,24,9,69881.09,2,0,1,64421.02,0
253,15743759,Brooks,619,France,Male,39,5,0,2,1,1,158444.61,0
254,15749947,Black,665,France,Female,44,7,0,2,1,1,66548.58,0
255,15670496,Schwartz,655,Spain,Female,27,9,0,2,0,0,108008.05,0
256,15746664,Ts'ui,463,Spain,Male,20,8,204223.03,1,1,0,128268.39,0
257,15745533,Sargent,799,France,Female,63,1,110314.21,2,1,0,37464,1
258,15761497,Udinesi,713,Spain,Female,48,1,163760.82,1,0,0,157381.14,1
259,15628600,Lee,807,Germany,Female,31,1,141069.18,3,1,1,194257.11,0
260,15627002,Taylor,728,France,Male,38,1,115934.74,1,1,1,139059.05,0
261,15614635,Kepley,582,France,Male,52,2,151457.88,1,0,1,40893.61,0
262,15731281,Ozuluonye,704,Germany,Female,35,3,154206.07,2,1,1,40261.49,0
263,15814022,Lassetter,714,France,Female,26,9,89928.99,1,1,0,46203.31,0
264,15659194,Mishina,628,France,Male,30,8,89182.09,1,1,1,13126.9,0
265,15745030,Trevisano,809,Germany,Male,41,1,79706.25,2,1,0,165675.01,0
266,15691817,Iloerika,547,Spain,Female,44,5,0,3,0,0,5459.07,1
267,15707488,Tan,560,France,Female,27,5,0,2,1,0,131919.48,0
268,15784700,Chikelu,811,France,Male,31,7,117799.28,1,1,1,182372.35,0
269,15710397,Lin,584,France,Male,26,4,0,2,1,0,147600.54,0
270,15687648,Nicholson,691,France,Male,28,1,0,2,0,0,92865.41,0
271,15732281,Ugoji,680,Germany,Male,34,6,146422.22,1,1,0,67142.97,1
272,15607230,Michel,588,Germany,Male,33,9,150186.22,2,1,1,65611.01,0
273,15567630,Bruce,721,Germany,Male,40,6,100275.88,1,1,0,138564.48,1
274,15587507,Feng,850,France,Male,47,6,0,1,1,0,187391.02,1
275,15733904,McDonald,529,France,Male,32,9,147493.89,1,1,0,33656.35,0
276,15709511,Watt,622,France,Male,43,8,0,2,1,0,100618.17,0
277,15579616,Goodwin,683,France,Female,42,8,0,2,0,1,198134.9,0
278,15694852,Arcuri,575,France,Male,29,4,121823.4,2,1,1,50368.87,0
279,15589924,Rapuluolisa,577,Spain,Female,40,1,0,2,1,1,108787,0
280,15799300,Kao,510,Germany,Male,31,0,113688.63,1,1,0,33099.41,1
281,15731330,Tsui,652,Spain,Female,40,7,100471.34,1,1,1,124550.88,0
282,15694129,Summers,569,Germany,Female,28,3,100032.52,1,1,0,5159.21,1
283,15620372,Cross,687,Spain,Male,31,3,0,2,0,0,48228.1,0
284,15744622,Osorio,822,France,Male,32,8,116358,1,1,0,108798.36,0
285,15799815,Bobrov,656,Germany,Female,23,4,163549.63,1,0,1,21085.12,0
286,15759250,Barnett,745,Germany,Male,51,3,99183.9,1,1,1,28922.25,0
287,15732643,Pike,386,Spain,Female,53,1,131955.07,1,1,1,62514.65,1
288,15690540,Gearheart,684,Spain,Female,41,1,134177.06,1,0,0,177506.66,0
289,15803078,Bruno,635,Spain,Female,38,1,0,2,1,0,90605.05,0
290,15652180,Egobudike,582,France,Male,30,2,0,2,1,1,132029.95,0
291,15741195,Okechukwu,613,Spain,Male,19,5,0,1,1,1,176903.35,0
292,15743490,Zikoranachidimma,795,Germany,Female,56,9,94348.94,1,1,0,29239.29,1
293,15575510,Milanesi,659,France,Female,32,2,155584.21,1,0,1,153662.88,0
294,15732610,Ahern,745,France,Female,28,6,0,2,1,0,154389.18,0
295,15602909,Dickson,604,Spain,Female,41,10,0,2,1,1,166224.39,0
296,15734058,Anayochukwu,509,Germany,Male,32,9,170661.47,1,1,1,21646.2,0
297,15801788,McDonald,706,Germany,Female,29,6,185544.36,1,1,0,171037.63,0
298,15702462,Fiorentini,619,Spain,Female,44,6,52831.13,1,1,1,112649.22,1
299,15683416,Russo,572,Germany,Male,51,8,97750.07,3,1,1,193014.26,1
300,15794187,Young,695,France,Male,36,6,114007.5,2,1,0,118120.88,0
301,15792989,Bianchi,543,France,Female,71,1,104308.77,1,1,1,25650.04,0
302,15613734,Fallaci,640,France,Female,33,6,84719.13,2,1,1,113048.79,0
303,15606177,Crawford,672,France,Male,39,2,0,2,1,0,87372.49,0
304,15636700,Marsh,701,France,Male,39,9,140236.98,1,0,1,146651.99,0
305,15645766,Kosisochukwu,634,Spain,Male,25,9,0,2,1,1,8227.91,0
306,15671345,Piccio,531,Spain,Female,42,6,75302.85,2,0,0,57034.35,0
307,15652469,Nevels,699,France,Male,27,1,0,2,1,0,93003.21,0
308,15749638,Kaodilinakachukwu,605,France,Female,51,9,104760.82,1,1,1,165574.54,1
309,15728706,Amaechi,534,France,Female,49,7,0,1,1,0,13566.48,1
310,15735439,P'an,449,Spain,Female,31,1,113693,1,0,0,82796.29,0
311,15778696,Ikemefuna,684,Spain,Female,36,5,174180.39,1,1,0,119830.08,0
312,15624744,Tai,622,Germany,Male,42,9,115766.26,1,0,0,72155.85,1
313,15584338,Winn,714,France,Female,40,0,0,2,1,0,62762.12,0
314,15726178,Hardy,712,Spain,Female,48,8,0,2,1,0,183235.33,0
315,15794939,Chiu,783,France,Female,72,5,121215.9,2,1,1,105206.48,0
316,15788068,Lopez,743,Germany,Male,45,10,144677.19,3,1,0,22512.44,1
317,15572956,Steen,683,France,Male,36,5,115350.63,1,1,1,122305.91,0
318,15780386,Ferri,654,Spain,Male,40,5,105683.63,1,1,0,173617.09,0
319,15791114,Yegorova,700,France,Male,37,1,135179.49,1,1,0,160670.37,0
320,15708046,Knowles,744,Spain,Male,31,0,117551.23,1,1,0,158958.9,0
321,15719779,May,645,Germany,Male,25,1,157404.02,2,1,0,93073.04,0
322,15591550,Bianchi,525,Spain,Male,36,3,77910.23,1,1,0,67238.01,0
323,15639368,Pipes,732,France,Male,25,0,110942.9,1,0,0,172576.56,0
324,15699830,Doherty,721,France,Female,40,7,0,2,1,1,122580.48,0
325,15569264,Yobanna,622,France,Male,32,5,179305.09,1,1,1,149043.78,0
326,15595158,Hsu,654,Germany,Male,31,5,150593.59,2,1,1,105218.45,0
327,15599126,Russell,529,France,Female,43,0,123815.86,1,1,1,78463.99,1
328,15650575,Payne,720,Spain,Female,59,6,0,2,1,1,160849.43,1
329,15641490,Windsor,850,Germany,Female,25,8,69385.17,2,1,0,87834.24,0
330,15680234,Bray,667,Germany,Male,27,2,138032.15,1,1,0,166317.71,0
331,15592230,Seleznyov,620,France,Male,41,3,0,2,1,1,137309.06,0
332,15626212,Wark,616,France,Male,29,9,0,1,1,1,166984.44,0
333,15700627,Y?,637,Germany,Female,46,2,143500.82,1,1,0,166996.46,1
334,15782641,Brown,710,Spain,Female,29,3,119670.18,1,1,0,188022.44,0
335,15784445,Huang,717,Spain,Male,33,1,99106.73,1,0,0,194467.23,0
336,15813681,Zito,786,Germany,Male,24,2,120135.55,2,1,1,125449.47,0
337,15596649,Bailey,651,France,Female,39,8,0,1,1,0,137452.57,0
338,15700460,Allnutt,530,France,Female,55,4,120905.03,1,0,1,123475.88,1
339,15724076,Christie,815,Spain,Female,57,5,0,3,0,0,38941.44,1
340,15784000,Pope,715,Germany,Female,34,9,102277.52,1,0,0,177852.57,1
341,15733966,Johnstone,496,Germany,Female,55,4,125292.53,1,1,1,31532.96,1
342,15612667,Bird,680,Spain,Male,42,0,0,1,1,0,136377.21,0
343,15654025,Jones,646,France,Female,51,4,101629.3,1,0,0,130541.1,0
344,15589431,Pedder,807,Germany,Male,47,1,171937.27,1,1,1,65636.92,0
